"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1104","Failed login with invalid password","BDD / Cucumber","Thu Apr 02 16:07:14 IST 2026","failed","Thu Apr 02 16:07:15 IST 2026","","User Login","",""
"","5340","Successful login with valid credentials","BDD / Cucumber","Thu Apr 02 16:07:10 IST 2026","failed","Thu Apr 02 16:07:15 IST 2026","","User Login","",""
