"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","269","Verify role restriction persists across sessions","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","passed","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","373","Verify behavior when multiple roles are rejected separately","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","passed","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","286","Verify re-application works after role capacity changes","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","skipped","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","275","Verify restriction applies only to the specific rejected role","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","passed","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","349","Verify rejected role is restricted for re-application","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","passed","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","326","Verify backend validation prevents bypassing rejected role restriction","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","passed","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","259","Verify other available roles remain selectable after rejection","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","passed","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
"","261","Verify rejected role displays proper validation messaging","BDD / Cucumber","Mon Mar 30 14:26:24 IST 2026","skipped","Mon Mar 30 14:26:25 IST 2026","","Verify rejected role is restricted for re-application","",""
