"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","251","Verify rejected role displays proper validation messaging","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","skipped","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","263","Verify other available roles remain selectable after rejection","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","passed","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","267","Verify re-application works after role capacity changes","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","skipped","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","286","Verify backend validation prevents bypassing rejected role restriction","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","passed","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","245","Verify behavior when multiple roles are rejected separately","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","passed","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","335","Verify role restriction persists across sessions","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","passed","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","361","Verify rejected role is restricted for re-application","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","passed","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
"","232","Verify restriction applies only to the specific rejected role","BDD / Cucumber","Thu Mar 26 15:25:25 IST 2026","passed","Thu Mar 26 15:25:26 IST 2026","","Verify rejected role is restricted for re-application","",""
