"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Verify rejected role is restricted for re-application","1","0","Verify rejected role is restricted for re-application","0"
"0","","0","Verify rejected role is restricted for re-application","1","0","Verify role restriction persists across sessions","0"
"0","","0","Verify rejected role is restricted for re-application","1","0","Verify other available roles remain selectable after rejection","0"
"0","","0","Verify rejected role is restricted for re-application","0","1","Verify rejected role displays proper validation messaging","0"
"0","","0","Verify rejected role is restricted for re-application","1","0","Verify backend validation prevents bypassing rejected role restriction","0"
"0","","0","Verify rejected role is restricted for re-application","1","0","Verify restriction applies only to the specific rejected role","0"
"0","","0","Verify rejected role is restricted for re-application","1","0","Verify behavior when multiple roles are rejected separately","0"
"0","","0","Verify rejected role is restricted for re-application","0","1","Verify re-application works after role capacity changes","0"
