"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","818","Verify rejected role is restricted for re-application","BDD / Cucumber","Fri Mar 27 13:21:17 IST 2026","passed","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","451","Verify role restriction persists across sessions","BDD / Cucumber","Fri Mar 27 13:21:18 IST 2026","passed","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","494","Verify other available roles remain selectable after rejection","BDD / Cucumber","Fri Mar 27 13:21:18 IST 2026","passed","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","572","Verify rejected role displays proper validation messaging","BDD / Cucumber","Fri Mar 27 13:21:17 IST 2026","skipped","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","570","Verify backend validation prevents bypassing rejected role restriction","BDD / Cucumber","Fri Mar 27 13:21:17 IST 2026","passed","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","584","Verify restriction applies only to the specific rejected role","BDD / Cucumber","Fri Mar 27 13:21:17 IST 2026","passed","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","502","Verify behavior when multiple roles are rejected separately","BDD / Cucumber","Fri Mar 27 13:21:18 IST 2026","passed","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
"","445","Verify re-application works after role capacity changes","BDD / Cucumber","Fri Mar 27 13:21:18 IST 2026","skipped","Fri Mar 27 13:21:18 IST 2026","","Verify rejected role is restricted for re-application","",""
