"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","651","Verify backend validation prevents bypassing rejected role restriction","BDD / Cucumber","Mon Mar 30 15:16:32 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","494","Verify other available roles remain selectable after rejection","BDD / Cucumber","Mon Mar 30 15:16:32 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","660","Verify restriction applies only to the specific rejected role","BDD / Cucumber","Mon Mar 30 15:16:31 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","669","Verify behavior when multiple roles are rejected separately","BDD / Cucumber","Mon Mar 30 15:16:31 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","725","Verify rejected role is restricted for re-application","BDD / Cucumber","Mon Mar 30 15:16:31 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","663","Verify role restriction persists across sessions","BDD / Cucumber","Mon Mar 30 15:16:32 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","673","Verify re-application works after role capacity changes","BDD / Cucumber","Mon Mar 30 15:16:31 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
"","467","Verify rejected role displays proper validation messaging","BDD / Cucumber","Mon Mar 30 15:16:32 IST 2026","failed","Mon Mar 30 15:16:32 IST 2026","","Verify rejected role is restricted for re-application","",""
