"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2765","Successful login with valid credentials","BDD / Cucumber","Thu Apr 02 14:03:45 IST 2026","failed","Thu Apr 02 14:03:47 IST 2026","","User Login","",""
"","456","Failed login with invalid password","BDD / Cucumber","Thu Apr 02 14:03:47 IST 2026","failed","Thu Apr 02 14:03:47 IST 2026","","User Login","",""
